indicator_id,component,component_name,subcomponent,subcomponent_name,topic,topic_name,subtopic,subtopic_name,statistic_num,statistic_name,category_of_measurement
1.1.1.a.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",a,Temperature,1,Monthly average,Degrees
1.1.1.a.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",a,Temperature,2,Minimum monthly average,Degrees
1.1.1.a.3,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",a,Temperature,3,Maximum monthly average,Degrees
1.1.1.b.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",b,Precipitation (also in 2.6.1.a),1,Annual average,Height
1.1.1.b.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",b,Precipitation (also in 2.6.1.a),2,Long-term annual average,Height
1.1.1.b.3,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",b,Precipitation (also in 2.6.1.a),3,Monthly average,Height
1.1.1.b.4,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",b,Precipitation (also in 2.6.1.a),4,Minimum monthly value,Height
1.1.1.b.5,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",b,Precipitation (also in 2.6.1.a),5,Maximum monthly value,Height
1.1.1.c.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",c,Relative humidity,1,Minimum monthly value,Number
1.1.1.c.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",c,Relative humidity,2,Maximum monthly value,Number
1.1.1.d.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",d,Pressure,1,Minimum monthly value,Pressure unit
1.1.1.d.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",d,Pressure,2,Maximum monthly value,Pressure unit
1.1.1.e.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",e,Wind speed,1,Minimum monthly value,Speed
1.1.1.e.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",e,Wind speed,2,Maximum monthly value,Speed
1.1.1.f.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",f,Solar radiation,1,Average daily value,"Area, Energy unit"
1.1.1.f.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",f,Solar radiation,2,Average monthly value,"Area, Energy unit"
1.1.1.f.3,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",f,Solar radiation,3,Number of hours of sunshine,Number
1.1.1.g.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",g,UV radiation,1,Maximum daily value,"Area, Energy unit"
1.1.1.g.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",g,UV radiation,2,Average daily value,"Area, Energy unit"
1.1.1.g.3,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",g,UV radiation,3,Maximum monthly value,"Area, Energy unit"
1.1.1.g.4,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",g,UV radiation,4,Average monthly value,"Area, Energy unit"
1.1.1.h.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",h,"Occurrence of El Niño/La Niña events, when relevant",1,Occurrence,Number
1.1.1.h.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.1,"Atmosphere, climate and weather",h,"Occurrence of El Niño/La Niña events, when relevant",2,Time period,Time period
1.1.2.a.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,a,Lakes,1,Surface area,Area
1.1.2.a.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,a,Lakes,2,Maximum depth,Depth
1.1.2.b.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,b,Rivers and streams,1,Length,Length
1.1.2.c.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,c,Artificial reservoirs,1,Surface area,Area
1.1.2.c.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,c,Artificial reservoirs,2,Maximum depth,Depth
1.1.2.d.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,d,Watersheds,1,Description of main watersheds,"Area, Description"
1.1.2.e.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,e,Seas,1,Coastal waters,Area
1.1.2.e.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,e,Seas,2,Territorial sea,Area
1.1.2.e.3,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,e,Seas,3,Exclusive Economic Zone (EEZ),Area
1.1.2.e.4,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,e,Seas,4,Sea level,Depth
1.1.2.e.5,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,e,Seas,5,Area of sea ice,Area
1.1.2.f,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,f,Aquifers,NA,Aquifers,"Depth, Description"
1.1.2.g,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.2,Hydrographical characteristics,g,Glaciers,NA,Glaciers,Area
1.1.3.a.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,a,"Geological, geographical and geomorphological conditions of terrestrial areas and islands",1,Length of border,Length
1.1.3.a.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,a,"Geological, geographical and geomorphological conditions of terrestrial areas and islands",2,Area of country or region,"Area, Location"
